a0,b1,c2,d3,e4,f5,g6,h7,i8,j9
Fire rate,,,,,,,,,
weapon_assault,xm8,70,45,55,55,55,30,MPUI_4RBURST,
weapon_attachment,reflex,15,0,5,0,0,0,,xm8
weapon_attachment,acog,15,0,5,0,0,0,,xm8
weapon_attachment,rangefinder,15,0,5,0,0,0,,xm8
weapon_attachment,dualoptic,10,0,10,0,0,0,,xm8
weapon_attachment,extclip,0,0,0,0,0,10,,xm8
weapon_attachment,fmj,0,15,0,0,0,0,,xm8
weapon_attachment,stalker,10,0,0,0,0,0,,xm8
weapon_attachment,silencer,0,-5,-10,0,0,0,,xm8
weapon_attachment,steadyaim,10,0,0,0,0,0,,xm8
weapon_attachment,sf,10,0,10,10,10,0,,xm8
weapon_attachment,fastads,10,0,0,0,0,0,,xm8
weapon_attachment,grip,20,0,0,0,0,0,,xm8
weapon_attachment,gl,0,20,0,0,0,0,,xm8
weapon_attachment,mms,-5,0,0,0,0,0,,xm8
weapon_attachment,holo,10,0,10,0,0,0,,xm8
weapon_assault,type95,50,55,40,70,70,30,MPUI_FULL_AUTO,
weapon_attachment,reflex,15,0,5,0,0,0,,type95
weapon_attachment,acog,15,0,5,0,0,0,,type95
weapon_attachment,rangefinder,15,0,5,0,0,0,,type95
weapon_attachment,dualoptic,10,0,10,0,0,0,,type95
weapon_attachment,extclip,0,0,0,0,0,10,,type95
weapon_attachment,fmj,0,15,0,0,0,0,,type95
weapon_attachment,stalker,10,0,0,0,0,0,,type95
weapon_attachment,silencer,0,-5,-10,0,0,0,,type95
weapon_attachment,steadyaim,10,0,0,0,0,0,,type95
weapon_attachment,sf,10,0,10,10,10,0,,type95
weapon_attachment,fastads,10,0,0,0,0,0,,type95
weapon_attachment,grip,20,0,0,0,0,0,,type95
weapon_attachment,gl,0,20,0,0,0,0,,type95
weapon_attachment,mms,-5,0,0,0,0,0,,type95
weapon_attachment,holo,10,0,10,0,0,0,,type95
weapon_assault,sig556,70,60,65,30,30,30,MPUI_BURST,
weapon_attachment,reflex,15,0,5,0,0,0,,sig556
weapon_attachment,acog,15,0,5,0,0,0,,sig556
weapon_attachment,rangefinder,15,0,5,0,0,0,,sig556
weapon_attachment,dualoptic,10,0,10,0,0,0,,sig556
weapon_attachment,extclip,0,0,0,0,0,10,,sig556
weapon_attachment,fmj,0,15,0,0,0,0,,sig556
weapon_attachment,stalker,10,0,0,0,0,0,,sig556
weapon_attachment,silencer,0,-5,-10,0,0,0,,sig556
weapon_attachment,steadyaim,10,0,0,0,0,0,,sig556
weapon_attachment,sf,10,0,10,10,10,0,,sig556
weapon_attachment,fastads,10,0,0,0,0,0,,sig556
weapon_attachment,grip,20,0,0,0,0,0,,sig556
weapon_attachment,gl,0,20,0,0,0,0,,sig556
weapon_attachment,mms,-5,0,0,0,0,0,,sig556
weapon_attachment,holo,10,0,10,0,0,0,,sig556
weapon_assault,an94,50,60,55,60,60,30,MPUI_FULL_AUTO,
weapon_attachment,reflex,15,0,5,0,0,0,,an94
weapon_attachment,acog,15,0,5,0,0,0,,an94
weapon_attachment,rangefinder,15,0,5,0,0,0,,an94
weapon_attachment,dualoptic,10,0,10,0,0,0,,an94
weapon_attachment,extclip,0,0,0,0,0,10,,an94
weapon_attachment,fmj,0,15,0,0,0,0,,an94
weapon_attachment,stalker,10,0,0,0,0,0,,an94
weapon_attachment,silencer,0,-5,-10,0,0,0,,an94
weapon_attachment,steadyaim,10,0,0,0,0,0,,an94
weapon_attachment,sf,10,0,10,10,10,0,,an94
weapon_attachment,fastads,10,0,0,0,0,0,,an94
weapon_attachment,grip,20,0,0,0,0,0,,an94
weapon_attachment,gl,0,20,0,0,0,0,,an94
weapon_attachment,mms,-5,0,0,0,0,0,,an94
weapon_attachment,holo,10,0,10,0,0,0,,an94
weapon_assault,saritch,55,75,75,15,15,20,MPUI_SEMI_AUTO,
weapon_attachment,reflex,15,0,5,0,0,0,,saritch
