a0,b1,c2
1,global_kills,
2,global_deaths,
3,global_assists,
4,global_headshots,
5,global_suicides,
6,global_executions,
7,global_minutes,
8,global_games,
9,global_moneyspent,
10,global_teammedals,
11,global_sharedpackagemedals,
12,global_ctf_flagscaptured,
13,global_ctf_flagsreturned,
14,global_hq_destroyed,
15,global_hq_captured,
16,global_snd_defuses,
17,global_snd_plants,
18,global_sab_destroyedbyops,
19,global_sab_destroyedbycommunists,
20,global_dem_bombsdestroyed,
21,global_dem_bombsprotected,
22,global_contracts_failed,
23,global_contractscppaid,
24,global_combattraining_botskilled,
25,global_combattraining_gamesplayed,
26,global_distancesprinted100inches,
27,global_distancefeetfallen,
28,global_fraggrenadesthrown,
29,global_c4thrown,
30,global_shotsfired,
31,global_crossbowfired,
32,global_wageredcp, 
33,global_barrelsdestroyed,
34,global_humiliations, 
35,global_revives,
36,global_afterlifes,
37,global_comebacks, 
38,global_paybacks,
39,global_backstabs,
40,global_bankshots,
41,global_buzzkills,
42,global_skewered,
43,global_killstreaks_called,
44,global_killstreaks_destroyed,
45,global_killstreaks_deathsfrom,
46,global_carsdestroyed,
47,global_challenges_finished,
48,global_clantags_created,
49,global_clantags_failedattempts,
50,global_fileshare_shared,
51,global_fileshare_rendered,
52,global_prestiged,
53,global_purchasedfacepaint,
54,global_emblem_created,
55,global_camopurchased,
56,global_purchasedguncustomization,
58,global_emblem_imagespurchased,
59,global_emblem_layerspurchased,
60,global_customgames_created,
61,global_films_shoutcasted,
62,global_highlightreel_run,
200,global_zm_killed,
201,global_zm_killed_by_players,
202,global_zm_killed_by_traps,
203,global_zm_players_killed_by_zombies,
204,global_zm_players_reached_round_01,
205,global_zm_players_reached_round_02,
206,global_zm_players_reached_round_03,
207,global_zm_players_reached_round_04,
208,global_zm_players_reached_round_05,
209,global_zm_players_reached_round_06,
210,global_zm_players_reached_round_07,
211,global_zm_players_reached_round_08,
212,global_zm_players_reached_round_09,
213,global_zm_players_reached_round_10,
214,global_zm_players_reached_round_11,
215,global_zm_players_reached_round_12,
216,global_zm_players_reached_round_13,
217,global_zm_players_reached_round_14,
218,global_zm_players_reached_round_15,
219,global_zm_players_reached_round_16,
220,global_zm_players_reached_round_17,
221,global_zm_players_reached_round_18,
222,global_zm_players_reached_round_19,
223,global_zm_players_reached_round_20,
224,global_zm_players_reached_round_21,
225,global_zm_players_reached_round_22,
226,global_zm_players_reached_round_23,
227,global_zm_players_reached_round_24,
228,global_zm_players_reached_round_25,
229,global_zm_players_reached_round_26,
230,global_zm_players_reached_round_27,
231,global_zm_players_reached_round_28,
232,global_zm_players_reached_round_29,
233,global_zm_players_reached_round_30,
234,global_zm_players_reached_round_31,
235,global_zm_players_reached_round_32,
236,global_zm_players_reached_round_33,
237,global_zm_players_reached_round_34,
238,global_zm_players_reached_round_35,
239,global_zm_players_reached_round_36,
240,global_zm_players_reached_round_37,
241,global_zm_players_reached_round_38,
242,global_zm_players_reached_round_39,
243,global_zm_players_reached_round_40,
244,global_zm_players_reached_round_41,
245,global_zm_players_reached_round_42,
246,global_zm_players_reached_round_43,
247,global_zm_players_reached_round_44,
248,global_zm_players_reached_round_45,
249,global_zm_players_reached_round_46,
250,global_zm_players_reached_round_47,
251,global_zm_players_reached_round_48,
252,global_zm_players_reached_round_49,
253,global_zm_players_reached_round_50,
254,global_zm_players_reached_round_51,
255,global_zm_players_reached_round_52,
256,global_zm_players_reached_round_53,
257,global_zm_players_reached_round_54,
258,global_zm_players_reached_round_55,
259,global_zm_players_reached_round_56,
260,global_zm_players_reached_round_57,
261,global_zm_players_reached_round_58,
262,global_zm_players_reached_round_59,
263,global_zm_players_reached_round_60,
264,global_zm_players_reached_round_61,
265,global_zm_players_reached_round_62,
266,global_zm_players_reached_round_63,
267,global_zm_players_reached_round_64,
268,global_zm_players_reached_round_65,
269,global_zm_players_reached_round_66,
270,global_zm_players_reached_round_67,
271,global_zm_players_reached_round_68,
272,global_zm_players_reached_round_69,
273,global_zm_players_reached_round_70,
274,global_zm_players_reached_round_71,
275,global_zm_players_reached_round_72,
276,global_zm_players_reached_round_73,
277,global_zm_players_reached_round_74,
278,global_zm_players_reached_round_75,
279,global_zm_players_reached_round_76,
280,global_zm_players_reached_round_77,
281,global_zm_players_reached_round_78,
282,global_zm_players_reached_round_79,
283,global_zm_players_reached_round_80,
284,global_zm_players_reached_round_81,
285,global_zm_players_reached_round_82,
