a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16
maxnum_map,31,,,,,,,,,,,,,,,
mp_la,fbi,pmc,MPUI_LA,menu_mp_la_map_select_final,0,MPUI_DESC_MAP_LA,compass_overlay_map_la,MEDIUM,NO,YES,0,MPUI_FBI_SHORT,MPUI_PMC_SHORT,faction_fbi,faction_pmc,
mp_dockside,seals,pla,MPUI_DOCKSIDE,menu_mp_dockside_map_select_final,1,MPUI_DESC_MAP_DOCKSIDE,compass_overlay_map_dockside,MEDIUM,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PLA_SHORT,faction_seals,faction_pla,
mp_carrier,seals,pla,MPUI_CARRIER,menu_mp_carrier_map_select_final,2,MPUI_DESC_MAP_CARRIER,compass_overlay_map_carrier,MEDIUM,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PLA_SHORT,faction_seals,faction_pla,
mp_drone,seals,pla,MPUI_DRONE,menu_mp_drone_map_select_final,3,MPUI_DESC_MAP_DRONE,compass_overlay_map_drone,LARGE,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PLA_SHORT,faction_seals,faction_pla,
mp_express,fbi,pmc,MPUI_EXPRESS,menu_mp_express_map_select_final,4,MPUI_DESC_MAP_EXPRESS,compass_overlay_map_express,MEDIUM,NO,YES,0,MPUI_FBI_SHORT,MPUI_PMC_SHORT,faction_fbi,faction_pmc,
mp_hijacked,seals,pmc,MPUI_HIJACKED,menu_mp_hijacked_map_select_final,5,MPUI_DESC_MAP_HIJACKED,compass_overlay_map_hijacked,MEDIUM,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PMC_SHORT,faction_seals,faction_pmc,
mp_meltdown,isa,cd,MPUI_MELTDOWN,menu_mp_meltdown_map_select_final,6,MPUI_DESC_MAP_MELTDOWN,compass_overlay_map_meltdown,MEDIUM,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PLA_SHORT,faction_seals,faction_pla,
mp_overflow,isa,cd,MPUI_OVERFLOW,menu_mp_overflow_map_select_final,7,MPUI_DESC_MAP_OVERFLOW,compass_overlay_map_overflow,MEDIUM,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PMC_SHORT,faction_seals,faction_pmc,
mp_nightclub,isa,pmc,MPUI_NIGHTCLUB,menu_mp_nightclub_map_select_final,8,MPUI_DESC_MAP_NIGHTCLUB,compass_overlay_map_nightclub,MEDIUM,NO,YES,0,MPUI_SEALS_SHORT,MPUI_PMC_SHORT,faction_seals,faction_pmc,
