a0,b1,c2,d3
RANKXP,300,1,0
KILLS,4,2000,1
ASSISTS,2,1,1
HEADSHOTS,1,100,1
MEDAL_REVIVES,0,1,0
CODPOINTS,300,1,0
MEDAL_BUZZ_KILL,1,1,1
MEDAL_LONG_SHOT,1,1,1
MEDAL_STUCK_TO_PLAYER,0,1,1
MEDAL_BULLS_EYE,0,1,1
MEDAL_EXECUTION,0,1,0
MEDAL_AVENGER,0,1,1
MEDAL_BACK_STABBER,0,1,1
MEDAL_HIJACKER,0,1,0
MEDAL_PAYBACK,2,1,1
MEDAL_RESCUER,1,1,1
MEDAL_ONE_SHOT_KILL,2,1,1
MEDAL_OFFENSE_MEDAL,1,500,1
MEDAL_DEFENSE_MEDAL,1,500,1
MEDAL_POSITION_SECURE,2,500,1
MEDAL_FLAG_RUNNER,1,20,1
MEDAL_FLAG_CAPTURE,1,500,1
MEDAL_FLAG_RETURN,1,20,1
MEDAL_SABOTEUR,0,100,1
MEDAL_BOMBER,0,100,1
MEDAL_HERO,0,1,1
MEDAL_ANTI_BOMBER,0,100,1
WIN_STREAK,1,1000,1
KILL_STREAK,2,5000,1
HIGHEST_SCORE,100,1000,1
HIGHEST_KDRATIO,0.2,10000,1
HIGHEST_ACCURACY,0,1,1
MEDALS,3,1,1
MEDAL_SKEWER,1,1,0
KILLS_COOKED,0,1,1
KILLS_STUNNED_PLAYER,1,1,1
BASIC_STOLEN_WEAPON_KILLS,1,1,1
BASIC_PENETRATION_KILLS,1,1,1
BASIC_MULTI_KILLS,1,1000,1
BASIC_CROUCH_KILLS,2,1,1
BASIC_PRONE_KILLS,2,1,1
KILLSTREAK_EARNED,2,1000,1
TDMKILLS,4,1000,0
DMKILLS,4,1000,0
SABKILLS,4,1000,0
SDKILLS,4,1000,0
CTFKILLS,4,1000,0
DOMKILLS,4,1000,0
KOTHKILLS,4,1000,0
DEMKILLS,4,1000,0
HCTDMKILLS,4,1000,0
HCDMKILLS,4,1000,0
HCSDKILLS,4,1000,0
