a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22
768,0,5000,gamemode,SCORE,CHALLENGE_SCORE,500,,,,,11,,dm tdm sd dom hq ctf dem conf,,,,,,,,,
769,1,25000,gamemode,SCORE,CHALLENGE_SCORE,2500,,,,,11,,dm tdm sd dom hq ctf dem conf,,,,,,,,,
770,2,50000,gamemode,SCORE,CHALLENGE_SCORE,5000,,,,challenges,11,EM_BACK_CH_770_,dm tdm sd dom hq ctf dem conf,,,,,,,,,
771,0,5,gamemode,TOP3,CHALLENGE_TOP3,500,,,,,11,,tdm dm sd dom hq ctf dem koth conf gun shrp oic sas,,,,,,,,,
772,1,25,gamemode,TOP3,CHALLENGE_TOP3,2500,,,,,11,,tdm dm sd dom hq ctf dem koth conf gun shrp oic sas,,,,,,,,,
773,2,50,gamemode,TOP3,CHALLENGE_TOP3,5000,,,,challenges,11,EM_BACK_CH_773_,tdm dm sd dom hq ctf dem koth conf gun shrp oic sas,,,,,,,,,
774,0,5,gamemode,TOPPLAYER,CHALLENGE_TOPPLAYER,500,,,,,11,,dm,,,,,,,,,
775,1,25,gamemode,TOPPLAYER,CHALLENGE_TOPPLAYER,2500,,,,,11,,dm,,,,,,,,,
776,2,50,gamemode,TOPPLAYER,CHALLENGE_TOPPLAYER,5000,,,,challenges,11,EM_BACK_CH_776_,dm,,,,,,,,,
777,0,5,gamemode,WINS,CHALLENGE_WINS,500,,,,,11,,tdm dm sd dom hq ctf dem koth conf shrp oic gun sas,,,,,,,,,
778,1,25,gamemode,WINS,CHALLENGE_WINS,2500,,,,,11,,tdm dm sd dom hq ctf dem koth conf shrp oic gun sas,,,,,,,,,
779,2,50,gamemode,WINS,CHALLENGE_WINS,5000,,,,challenges,11,EM_BACK_CH_779_,tdm dm sd dom hq ctf dem koth conf shrp oic gun sas,,,,,,,,,
