a0,b1,c2,d3,e4,f5,g6,f7,g8,h9,i10,j11,k12,l13,m14,n15,o16,p17,q18,r19,s20,t21,u22,v23
0,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle,,mc/mtl_t6_attach_optic_rmr_reticle,,,,,,,,,,,,,,,,,,
1,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_01,,mc/mtl_t6_attach_optic_rmr_reticle_01,,,,,,,,,,,,,,,,,,
2,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_02,,mc/mtl_t6_attach_optic_rmr_reticle_02,,,,,,,,,,,,,,,,,,
3,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_03,,mc/mtl_t6_attach_optic_rmr_reticle_03,,,,,,,,,,,,,,,,,,
4,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_04,,mc/mtl_t6_attach_optic_rmr_reticle_04,,,,,,,,,,,,,,,,,,
5,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_05,,mc/mtl_t6_attach_optic_rmr_reticle_05,,,,,,,,,,,,,,,,,,
6,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_06,,mc/mtl_t6_attach_optic_rmr_reticle_06,,,,,,,,,,,,,,,,,,
7,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_07,,mc/mtl_t6_attach_optic_rmr_reticle_07,,,,,,,,,,,,,,,,,,
8,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_08,,mc/mtl_t6_attach_optic_rmr_reticle_08,,,,,,,,,,,,,,,,,,
9,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_09,,mc/mtl_t6_attach_optic_rmr_reticle_09,,,,,,,,,,,,,,,,,,
10,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_10,,mc/mtl_t6_attach_optic_rmr_reticle_10,,,,,,,,,,,,,,,,,,
11,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_12,,mc/mtl_t6_attach_optic_rmr_reticle_12,,,,,,,,,,,,,,,,,,
12,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_13,,mc/mtl_t6_attach_optic_rmr_reticle_13,,,,,,,,,,,,,,,,,,
13,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_14,,mc/mtl_t6_attach_optic_rmr_reticle_14,,,,,,,,,,,,,,,,,,
14,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_15,,mc/mtl_t6_attach_optic_rmr_reticle_15,,,,,,,,,,,,,,,,,,
15,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_16,,mc/mtl_t6_attach_optic_rmr_reticle_16,,,,,,,,,,,,,,,,,,
16,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_17,,mc/mtl_t6_attach_optic_rmr_reticle_17,,,,,,,,,,,,,,,,,,
17,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_18,,mc/mtl_t6_attach_optic_rmr_reticle_18,,,,,,,,,,,,,,,,,,
18,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_19,,mc/mtl_t6_attach_optic_rmr_reticle_19,,,,,,,,,,,,,,,,,,
19,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_20,,mc/mtl_t6_attach_optic_rmr_reticle_20,,,,,,,,,,,,,,,,,,
20,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_21,,mc/mtl_t6_attach_optic_rmr_reticle_21,,,,,,,,,,,,,,,,,,
21,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_22,,mc/mtl_t6_attach_optic_rmr_reticle_22,,,,,,,,,,,,,,,,,,
22,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_23,,mc/mtl_t6_attach_optic_rmr_reticle_23,,,,,,,,,,,,,,,,,,
23,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_24,,mc/mtl_t6_attach_optic_rmr_reticle_24,,,,,,,,,,,,,,,,,,
24,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_38,,mc/mtl_t6_attach_optic_rmr_reticle_38,,,,,,,,,,,,,,,,,,
25,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_27,,mc/mtl_t6_attach_optic_rmr_reticle_27,,,,,,,,,,,,,,,,,,
26,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_28,,mc/mtl_t6_attach_optic_rmr_reticle_28,,,,,,,,,,,,,,,,,,
27,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_29,,mc/mtl_t6_attach_optic_rmr_reticle_29,,,,,,,,,,,,,,,,,,
28,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_30,,mc/mtl_t6_attach_optic_rmr_reticle_30,,,,,,,,,,,,,,,,,,
29,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_31,,mc/mtl_t6_attach_optic_rmr_reticle_31,,,,,,,,,,,,,,,,,,
30,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_32,,mc/mtl_t6_attach_optic_rmr_reticle_32,,,,,,,,,,,,,,,,,,
31,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_33,,mc/mtl_t6_attach_optic_rmr_reticle_33,,,,,,,,,,,,,,,,,,
32,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_34,,mc/mtl_t6_attach_optic_rmr_reticle_34,,,,,,,,,,,,,,,,,,
33,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_35,,mc/mtl_t6_attach_optic_rmr_reticle_35,,,,,,,,,,,,,,,,,,
34,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_36,,mc/mtl_t6_attach_optic_rmr_reticle_36,,,,,,,,,,,,,,,,,,
35,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_37,,mc/mtl_t6_attach_optic_rmr_reticle_37,,,,,,,,,,,,,,,,,,
36,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_39,,mc/mtl_t6_attach_optic_rmr_reticle_39,,,,,,,,,,,,,,,,,,
37,reticle,reflex,mc/mtl_t6_attach_optic_reflex_reticle_40,,mc/mtl_t6_attach_optic_rmr_reticle_40,,,,,,,,,,,,,,,,,,
0,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle,,,,,,,,,,,,,,,,,,,,
1,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_01,,,,,,,,,,,,,,,,,,,,
2,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_02,,,,,,,,,,,,,,,,,,,,
3,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_03,,,,,,,,,,,,,,,,,,,,
4,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_04,,,,,,,,,,,,,,,,,,,,
5,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_05,,,,,,,,,,,,,,,,,,,,
6,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_06,,,,,,,,,,,,,,,,,,,,
7,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_07,,,,,,,,,,,,,,,,,,,,
8,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_08,,,,,,,,,,,,,,,,,,,,
9,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_09,,,,,,,,,,,,,,,,,,,,
10,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_10,,,,,,,,,,,,,,,,,,,,
11,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_12,,,,,,,,,,,,,,,,,,,,
12,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_13,,,,,,,,,,,,,,,,,,,,
13,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_14,,,,,,,,,,,,,,,,,,,,
14,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_15,,,,,,,,,,,,,,,,,,,,
15,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_16,,,,,,,,,,,,,,,,,,,,
16,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_17,,,,,,,,,,,,,,,,,,,,
17,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_18,,,,,,,,,,,,,,,,,,,,
18,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_19,,,,,,,,,,,,,,,,,,,,
19,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_20,,,,,,,,,,,,,,,,,,,,
20,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_21,,,,,,,,,,,,,,,,,,,,
21,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_22,,,,,,,,,,,,,,,,,,,,
22,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_23,,,,,,,,,,,,,,,,,,,,
23,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_24,,,,,,,,,,,,,,,,,,,,
24,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_38,,,,,,,,,,,,,,,,,,,,
25,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_27,,,,,,,,,,,,,,,,,,,,
26,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_28,,,,,,,,,,,,,,,,,,,,
27,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_29,,,,,,,,,,,,,,,,,,,,
28,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_30,,,,,,,,,,,,,,,,,,,,
29,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_31,,,,,,,,,,,,,,,,,,,,
30,reticle,acog,mc/mtl_t6_attach_optic_acog_reticle_32,,,,,,,,,,,,,,,,,,,,
