empty,scope,acog,eotech,reflex,thermal,tracker,hybrid,vzscope,ammoslug,firetypeburst,firetypesingle,gl,silencer,flashsuppress,barrelrange,grip
weapon_pistol,,acogpistol,,,,,,,,,,,silencer02,flashsuppress02,barrelrange02,
weapon_shotgun,,,eotechshotgun,reflexshotgun,,,,,,,,,silencer03,flashsuppress03,barrelrange03,
weapon_smg,,acogsmg,eotechsmg,reflexsmg,thermalsmg,trackersmg,hybridsmg,,,,,,,,,
weapon_lmg,,,eotechlmg,reflexlmg,,,,,,,,,,,,
weapon_dmr,,,,,,,,,,firetypeburstdmr,,,silencer03,flashsuppress03,barrelrange03,
weapon_sniper,,acogsniper,,,thermalsniper,,,,,,,,silencer03sniper,flashsuppress03,,
iw6_ak12,,,,,,,,,,firetypeburstlight,firetypesinglelight,,,,,
iw6_arx160,,,,,,,,,,,,glarx160,,,,
iw6_cbjms,,,,,,,,,,,,,,,,griphide
iw6_dlcweap01,,,,,,,,,,firetypeburstlight,firetypesinglelight,,,,,
iw6_dlcweap03,dlcweap03scope,,,,,,,dlcweap03vzscope,,,,,silencersniperhide,,,
iw6_fads,,,,,,,,,,,,,,,,griphide
iw6_fp6,,,,,,,,,ammoslugpump,,,,,,,
iw6_g28,g28scope,,,,,,,,,,,,,,,
iw6_gm6,gm6scope,,,,,,,gm6vzscope,,,,,,,,
iw6_imbel,imbelscope,,,,,,,,,,,,,,,
iw6_kriss,,,,,,,,,,,,,,,,griphide
iw6_l115a3,l115a3scope,,,,,,,l115a3vzscope,,,,,silencerl115a3,,,
iw6_m27,,,,,,,,,,,,,,,,griphide
iw6_magnum,,,,,,,,,,,,,silencer02round,,,
iw6_maul,,,,,,,,,,,,,silencer02round,,,griphide
iw6_mk14,mk14scope,,,,,,,,,,,,,,,
iw6_msbs,,,,,,,,,,,firetypesinglelight,,,,,griphide
iw6_mts255,,,,,,,,,,,,,,,,griphide
iw6_pdw,,,eotechsmg,reflexsmg,,,,,,,,,,,,
iw6_pdwauto,,,eotechsmg,reflexsmg,,,,,,,,,,,,
iw6_pp19,,,,,,,,,,,,,,,,griphide
iw6_r5rgp,,,,,,,,,,firetypeburstlight,firetypesinglelight,,,,,
iw6_svu,svuscope,,,,,,,,,,,,,,,
iw6_usr,usrscope,,,,,,,usrvzscope,,,,,,,,
iw6_uts15,,,,,,,,,ammoslugpump,,,,,,,
iw6_vks,vksscope,,,,,,,vksvzscope,,,,,,,,
iw6_dlcweap02,dlcweap02scope,,,,,,,,,,,,,,,griphide
