a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,
dm,LUA_MENU_DEATHMATCH,LUA_MENU_DEATHMATCH_DESC,icon_pl_free_for_all,0,1,Standard,0,LUA_MENU_WARGAME_DEATHMATCH,OBJECTIVES_DM_HINT,OBJECTIVES_DM_HINT,0
war,LUA_MENU_TEAM_DEATHMATCH,LUA_MENU_TEAM_DEATHMATCH_DESC,icon_pl_team_deathmatch,1,1,Standard,1,LUA_MENU_WARGAME_TEAM_DEATHMATCH,OBJECTIVES_WAR_HINT,OBJECTIVES_WAR_HINT,0
sd,LUA_MENU_SEARCH_AND_DESTROY,LUA_MENU_SEARCH_AND_DESTROY_DESC,icon_pl_search_and_destroy,1,1,Standard,0,LUA_MENU_WARGAME_SEARCH_AND_DESTROY,OBJECTIVES_SD_ATTACKER_HINT,OBJECTIVES_SD_DEFENDER_HINT,1
dom,LUA_MENU_DOMINATION,LUA_MENU_DOMINATION_DESC,icon_pl_domination,1,1,Standard,1,LUA_MENU_WARGAME_DOMINATION,OBJECTIVES_DOM_HINT,OBJECTIVES_DOM_HINT,1
conf,LUA_MENU_CONF,LUA_MENU_CONF_DESC,icon_pl_kill_confirmed,1,1,Standard,1,LUA_MENU_WARGAME_CONF,OBJECTIVES_CONF_HINT,OBJECTIVES_CONF_HINT,0
sr,LUA_MENU_SR,LUA_MENU_SR_DESC,icon_pl_search_and_rescue,1,1,Standard,1,LUA_MENU_WARGAME_SR,OBJECTIVES_SD_ATTACKER_HINT,OBJECTIVES_SD_DEFENDER_HINT,0
aliens,LUA_MENU_ALIENS,LUA_MENU_ALIENS_DESC,icon_pl_extinction,0,0,Exclude,0,,ALIEN_OBJECTIVES_ALIENS_HINT,ALIEN_OBJECTIVES_ALIENS_HINT,0
grind,LUA_MENU_GRIND,LUA_MENU_GRIND_DESC,icon_pl_grind,1,1,Standard,0,LUA_MENU_WARGAME_GRIND,OBJECTIVES_WAR_HINT,OBJECTIVES_WAR_HINT,0
blitz,LUA_MENU_BLITZ,LUA_MENU_BLITZ_DESC,icon_pl_blitz,1,1,Standard,1,LUA_MENU_WARGAME_BLITZ,OBJECTIVES_BLITZ_HINT,OBJECTIVES_BLITZ_HINT,1
cranked,LUA_MENU_CRANKED,LUA_MENU_CRANKED_DESC,icon_pl_cranked,1,1,Standard,1,LUA_MENU_WARGAME_CRANKED,OBJECTIVES_WAR_HINT,OBJECTIVES_WAR_HINT,0
infect,LUA_MENU_INFECT,LUA_MENU_INFECT_DESC,icon_pl_infected,0,0,Standard,0,LUA_MENU_WARGAME_INFECT,OBJECTIVES_INFECT_HINT,OBJECTIVES_INFECT_HINT,0
horde,LUA_MENU_HORDE,LUA_MENU_HORDE_DESC,icon_pl_safeguard,0,0,Alternate,0,,HORDE_OBJECTIVE_HINT,HORDE_OBJECTIVE_HINT,0
sotf,LUA_MENU_SOTF,LUA_MENU_SOTF_DESC,icon_pl_hunted,1,0,Standard,0,LUA_MENU_WARGAME_SOTF,OBJECTIVES_WAR_HINT,OBJECTIVES_WAR_HINT,0
sotf_ffa,LUA_MENU_SOTF_FFA,LUA_MENU_SOTF_DESC,icon_pl_hunted,0,0,Alternate,0,LUA_MENU_WARGAME_SOTF_FFA,OBJECTIVES_DM_HINT,OBJECTIVES_DM_HINT,0
gun,LUA_MENU_GUN,LUA_MENU_GUN_DESC,icon_pl_free_for_all,0,0,Alternate,0,LUA_MENU_WARGAME_GUN,OBJECTIVES_DM_HINT,OBJECTIVES_DM_HINT,0
grnd,MPUI_GRND,MENU_GRND_DESC,icon_pl_team_deathmatch,1,1,Alternate,0,MPUI_GRND,OBJECTIVES_GRND_HINT,OBJECTIVES_GRND_HINT,0
siege,LUA_MENU_MP_SIEGE,LUA_MENU_MP_SIEGE_DESC,icon_pl_domination,1,1,Alternate,0,LUA_MENU_MP_WARGAME_SIEGE,OBJECTIVES_SIEGE_HINT,OBJECTIVES_SIEGE_HINT,1
