a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17
0,none,KILLSTREAKS_NONE,KILLSTREAKS_NONE_DESC,,,,,,,,,,specialty_ks_null,specialty_uav_crate,specialty_null,,
1,uplink,KILLSTREAKS_UPLINK,KILLSTREAKS_UPLINK_DESC,3,unused,mp_killstreak_satcom_assault,use_satcom,satcom,satcom,1,killstreak_uplink_assault_mp,100,icon_ks_sat_com,icon_ks_sat_com_hud,icon_ks_sat_com_hud,icon_ks_sat_com_hud,
2,ims,KILLSTREAKS_IMS,KILLSTREAKS_IMS_DESC,5,unused,mp_killstreak_ims,achieve_ims,null,null,1,killstreak_ims_mp,100,icon_ks_i_m_s,icon_ks_i_m_s_hud,icon_ks_i_m_s_hud,icon_ks_i_m_s_hud,
3,guard_dog,KILLSTREAKS_GUARD_DOG,KILLSTREAKS_DESC_GUARD_DOG,5,unused,mp_killstreak_guard_dog,achieve_dog,null,null,0,killstreak_guard_dog_mp,100,icon_ks_dog,icon_ks_dog_hud,icon_ks_dog_hud,icon_ks_dog_hud,
4,sentry,KILLSTREAKS_SENTRY,KILLSTREAKS_SENTRY_DESC,7,unused,mp_killstreak_sentrygun,deploy_sentry,null,null,0,killstreak_sentry_mp,100,icon_ks_sentry_gun,icon_ks_sentry_gun_hud,icon_ks_sentry_gun_hud,icon_ks_sentry_gun_hud,
5,drone_hive,KILLSTREAKS_DRONE_HIVE,KILLSTREAKS_DRONE_HIVE_DESC,7,unused,mp_killstreak_trinity_rocket,use_switchblade,switchblade,switchblade,0,killstreak_predator_missile_mp,150,icon_ks_switchblade,icon_ks_switchblade_hud,icon_ks_switchblade_hud,icon_ks_switchblade_hud,
6,helicopter,KILLSTREAKS_HELICOPTER,KILLSTREAKS_HELICOPTER_DESC,9,unused,mp_killstreak_battle_hind,achieve_hind,hind,hind,1,killstreak_helicopter_mp,100,icon_ks_heli_attack,icon_ks_heli_attack_hud,icon_ks_heli_attack_hud,icon_ks_heli_attack_hud,
7,ball_drone_backup,KILLSTREAKS_BALL_DRONE_BACKUP,KILLSTREAKS_BALL_DRONE_BACKUP_DESC,9,unused,mp_killstreak_vulture,achieve_vulture,null,null,0,killstreak_ball_drone_backup_mp,150,icon_ks_vulture,icon_ks_vulture_hud,icon_ks_vulture_hud,icon_ks_vulture_hud,
8,vanguard,KILLSTREAKS_VANGUARD,KILLSTREAKS_VANGUARD_DESC,10,unused,mp_killstreak_gryphon,use_gryphon,gryphon,gryphon,1,killstreak_vanguard_mp,150,icon_ks_vanguard,icon_ks_vanguard_hud,icon_ks_vanguard_hud,icon_ks_vanguard_hud,
9,airdrop_juggernaut_maniac,KILLSTREAKS_AIRDROP_JUGGERNAUT_MANIAC,KILLSTREAKS_AIRDROP_JUGGERNAUT_MANIAC_DESC,10,unused,mp_killstreak_jugg_maniac,achieve_juggernaut_m,juggernaut_maniac,juggernaut_maniac,1,airdrop_juggernaut_maniac_mp,150,icon_ks_maniac,icon_ks_maniac_hud,icon_ks_maniac_hud,icon_ks_maniac_hud,
