a0,b1,c2,d3,e4,f5,g6
weapon_pistol,colt,0,0,0,0,0
weapon_pistol,nambu,0,0,0,0,0
weapon_pistol,walther,0,0,0,0,0
weapon_pistol,tokarev,0,0,0,0,0
weapon_pistol,357magnum,0,0,0,0,0
weapon_pistol,,,,,,
weapon_sniper,springfield,75,75,80,30,65
weapon_sniper,springfield_scoped,10,0,20,0,0
weapon_sniper,springfield_bayonet,0,0,0,0,0
weapon_sniper,springfield_gl,0,0,0,0,0
weapon_sniper,,,,,,
weapon_sniper,type99rifle,65,80,80,30,65
weapon_sniper,type99rifle_scoped,10,0,20,0,0
weapon_sniper,type99rifle_bayonet,0,0,0,0,0
weapon_sniper,type99rifle_gl,0,0,0,0,0
weapon_sniper,,,,,,
weapon_sniper,mosinrifle,70,85,80,20,65
weapon_sniper,mosinrifle_scoped,10,0,20,0,0
weapon_sniper,mosinrifle_bayonet,0,0,0,0,0
weapon_sniper,mosinrifle_gl,0,0,0,0,0
weapon_sniper,,,,,,
weapon_sniper,kar98k,70,80,80,30,65
weapon_sniper,kar98k_scoped,10,0,20,0,0
weapon_sniper,kar98k_bayonet,0,0,0,0,0
weapon_sniper,kar98k_gl,0,0,0,0,0
weapon_sniper,,,,,,
weapon_sniper,ptrs41,60,90,100,35,65
weapon_sniper,,,,,,
weapon_assault,svt40,80,65,75,40,65
weapon_assault,svt40_flash,0,0,-20,0,0
weapon_assault,svt40_aperture,0,0,0,0,0
weapon_assault,svt40_telescopic,-10,0,10,0,0
weapon_assault,,,,,,
weapon_assault,gewehr43,85,60,75,40,65
weapon_assault,gewehr43_silenced,0,0,-20,0,0
weapon_assault,gewehr43_aperture,0,0,0,0,0
weapon_assault,gewehr43_telescopic,-10,0,10,0,0
weapon_assault,gewehr43_gl,0,0,0,0,0
weapon_assault,,,,,,
weapon_assault,m1garand,75,80,75,30,65
weapon_assault,m1garand_flash,0,0,-20,0,0
weapon_assault,m1garand_bayonet,0,0,0,0,0
weapon_assault,m1garand_gl,0,0,0,0,0
weapon_assault,m1garand_scoped,10,0,20,0,0
weapon_assault,,,,,,
weapon_assault,stg44,65,65,75,55,65
weapon_assault,stg44_flash,0,0,-20,0,0
weapon_assault,stg44_aperture,0,0,0,0,0
weapon_assault,stg44_telescopic,-10,0,10,0,0
weapon_assault,,,,,,
weapon_assault,m1carbine,85,75,75,40,65
weapon_assault,m1carbine_flash,0,0,-20,0,0
weapon_assault,m1carbine_aperture,0,0,0,0,0
weapon_assault,m1carbine_bayonet,0,0,0,0,0
weapon_assault,m1carbine_bigammo,0,0,0,0,0
weapon_assault,,,,,,
weapon_smg,thompson,75,70,45,75,100
weapon_smg,thompson_silenced,0,0,-20,0,0
weapon_smg,thompson_aperture,0,0,0,0,0
weapon_smg,thompson_bigammo,0,0,0,0,0
weapon_smg,,,,,,
weapon_smg,mp40,65,85,40,55,100
weapon_smg,mp40_silenced,0,0,-20,0,0
weapon_smg,mp40_aperture,0,0,0,0,0
weapon_smg,mp40_bigammo,0,0,0,0,0
weapon_smg,,,,,,
weapon_smg,type100smg,70,75,45,80,100
weapon_smg,type100smg_silenced,0,0,-20,0,0
weapon_smg,type100smg_aperture,0,0,0,0,0
weapon_smg,type100smg_bigammo,0,0,0,0,0
weapon_smg,,,,,,
weapon_smg,ppsh,65,65,45,90,100
weapon_smg,ppsh_aperture,0,0,0,0,0
weapon_smg,ppsh_bigammo,0,0,0,0,0
weapon_smg,,,,,,
weapon_shotgun,shotgun,30,80,20,35,100
weapon_shotgun,shotgun_grip,20,0,0,0,0
weapon_shotgun,shotgun_bayonet,0,0,0,0,0
weapon_shotgun,,,,,,
weapon_shotgun,doublebarreledshotgun,25,85,15,35,100
weapon_shotgun,doublebarreledshotgun_grip,20,0,0,0,0
weapon_shotgun,doublebarreledshotgun_sawoff,-10,15,-10,0,0
weapon_shotgun,,,,,,
weapon_lmg,type99lmg,50,60,75,70,35
weapon_lmg,type99lmg_bipod,20,0,0,0,0
weapon_lmg,type99lmg_bayonet,0,0,0,0,0
weapon_lmg,,,,,,
weapon_lmg,bar,65,75,75,40,35
weapon_lmg,bar_bipod,20,0,0,0,0
weapon_lmg,,,,,,
weapon_lmg,dp28,55,80,75,50,35
weapon_lmg,dp28_bipod,20,0,0,0,0
weapon_lmg,,,,,,
weapon_lmg,mg42,40,60,75,80,35
weapon_lmg,mg42_bipod,20,0,0,0,0
weapon_lmg,,,,,,
weapon_lmg,fg42,60,55,75,80,35
weapon_lmg,fg42_bipod,15,0,0,0,0
weapon_lmg,fg42_telescopic,-10,0,10,0,0
weapon_lmg,,,,,,
weapon_lmg,30cal,30,65,75,60,35
weapon_lmg,30cal_bipod,20,0,0,0,0
weapon_lmg,,,,,,
weapon_pistol,MPUI_PISTOL,,,,,
weapon_smg,MPUI_SUB_MACHINE_GUN,,,,,
weapon_assault,MPUI_RIFLES,,,,,
weapon_projectile,MPUI_PROJECTILE,,,,,
weapon_sniper,MPUI_BOLT_ACTION_RIFLES,,,,,
weapon_shotgun,MPUI_SHOTGUN,,,,,
weapon_lmg,MPUI_LIGHT_MACHINE_GUN,,,,,
