a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,800,2800,100,0,1,ch_pistol_1,CHALLENGE_PISTOLERO,CHALLENGE_GET_100_KILLS_WITH_PISTOL,100,,,,,1
2,2,801,2801,250,0,1,ch_submachinegun_1,CHALLENGE_SPRAY_N_PRAY,CHALLENGE_GET_250_KILLS_WITH_SUBMACHINE,100,,,,,1
3,3,802,2802,250,0,1,ch_sniper_1,CHALLENGE_RIFLEMAN,CHALLENGE_GET_250_KILLS_WITH_RIFLE,100,,,,,1
4,4,803,2803,250,0,1,ch_machinegun_1,CHALLENGE_HEAVY_METAL,CHALLENGE_GET_250_KILLS_WITH_HEAVY,100,,,,,1
5,5,804,2804,100,0,1,ch_shotgun_1,CHALLENGE_RIOT_CONTROL,CHALLENGE_GET_100_KILLS_WITH_SHOTGUN,100,,,,,1
6,6,805,2805,50,0,1,ch_flame_1,CHALLENGE_FREQUENT_FRYER,CHALLENGE_GET_50_KILLS_WITH_FLAMETHROWER,100,,,,,1
7,7,806,2806,25,0,1,ch_molotov_1,CHALLENGE_BARTENDER,CHALLENGE_GET_25_KILLS_WITH_MOLOTOV,100,,,,,1
8,8,808,2808,25,0,1,ch_hotpotato_1,CHALLENGE_HOT_POTATO,CHALLENGE_THROW_BACK_25_GRENADES,100,,,,,1
9,9,809,2809,10,0,1,ch_luckypunk_1,CHALLENGE_LUCKY_PUNK,CHALLENGE_KILL_10_IN_LAST_STAND,100,,,,,1
10,10,807,2807,100,0,1,ch_grenade_1,CHALLENGE_BLOODY_TOSSER,CHALLENGE_GET_100_KILLS_WITH_GRENADE,100,,,,,1
11,11,815,2815,20,0,1,ch_roadkill_1,CHALLENGE_CRAFTY_SHERMAN,CHALLENGE_RUN_OVER_20,100,,,,,1
12,12,810,2810,50,0,1,ch_assist_1,CHALLENGE_REMF,CHALLENGE_GET_50_ASSISTS,100,,,,,1
13,13,811,2811,75,0,1,ch_knife_1,CHALLENGE_SURGEON,CHALLENGE_GET_75_KILLS_WITH_KNIFE,100,,,,,1
14,14,812,2812,50,0,1,ch_banzai_1,CHALLENGE_SPARTAN,CHALLENGE_KILL_50_BANZAI,100,,,,,1
15,15,813,2813,30,0,1,ch_treesniper_1,CHALLENGE_CLEANER,CHALLENGE_KILL_30_TREE_SNIPERS,100,,,,,1
16,16,814,2814,50,0,1,ch_gib_1,CHALLENGE_GRINDER,CHALLENGE_GIB_50,100,,,,,1
