a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,661,2661,5,0,3,ch_supressor_1,CHALLENGE_SUPRESSOR_1,CHALLENGE_SUPRESSOR_DESC_1,50,,,,a,1
2,,,2661,15,5,3,ch_supressor_2,CHALLENGE_SUPRESSOR_2,CHALLENGE_SUPRESSOR_DESC_2,100,,,,,1
3,,,2661,35,15,3,ch_supressor_3,CHALLENGE_SUPRESSOR_3,CHALLENGE_SUPRESSOR_DESC_3,250,,,,,1
4,2,662,2662,5,0,3,ch_invisible_1,CHALLENGE_INVISIBLE_1,CHALLENGE_INVISIBLE_DESC_1,50,,,,a,1
5,,,2662,15,5,3,ch_invisible_2,CHALLENGE_INVISIBLE_2,CHALLENGE_INVISIBLE_DESC_2,100,,,,,1
6,,,2662,35,15,3,ch_invisible_3,CHALLENGE_INVISIBLE_3,CHALLENGE_INVISIBLE_DESC_3,250,,,,,1
7,3,663,2663,5,0,3,ch_bayonet_1,CHALLENGE_BAYONET_1,CHALLENGE_BAYONET_DESC_1,50,,,,a,1
8,,,2663,15,5,3,ch_bayonet_2,CHALLENGE_BAYONET_2,CHALLENGE_BAYONET_DESC_2,100,,,,,1
9,,,2663,35,15,3,ch_bayonet_3,CHALLENGE_BAYONET_3,CHALLENGE_BAYONET_DESC_3,250,,,,,1
10,4,664,2664,5,0,3,ch_launchspecialist_1,CHALLENGE_LAUNCHSPECIALIST_1,CHALLENGE_LAUNCHSPECIALIST_DESC_1,50,,,,a,1
11,,,2664,15,5,3,ch_launchspecialist_2,CHALLENGE_LAUNCHSPECIALIST_2,CHALLENGE_LAUNCHSPECIALIST_DESC_2,100,,,,,1
12,,,2664,35,15,3,ch_launchspecialist_3,CHALLENGE_LAUNCHSPECIALIST_3,CHALLENGE_LAUNCHSPECIALIST_DESC_3,250,,,,,1
13,5,665,2665,1,0,3,ch_downnotout_1,CHALLENGE_DOWNNOTOUT_1,CHALLENGE_DOWNNOTOUT_DESC_1,50,,,,b,1
14,,,2665,10,1,3,ch_downnotout_2,CHALLENGE_DOWNNOTOUT_2,CHALLENGE_DOWNNOTOUT_DESC_2,100,,,,,1
15,,,2665,25,10,3,ch_downnotout_3,CHALLENGE_DOWNNOTOUT_3,CHALLENGE_DOWNNOTOUT_DESC_3,250,,,,,1
16,7,666,2666,1,0,3,ch_medic_1,CHALLENGE_MEDIC_1,CHALLENGE_MEDIC_DESC_1,50,,,,b,1
17,,,2666,10,1,3,ch_medic_2,CHALLENGE_MEDIC_2,CHALLENGE_MEDIC_DESC_2,100,,,,,1
18,,,2666,25,10,3,ch_medic_3,CHALLENGE_MEDIC_3,CHALLENGE_MEDIC_DESC_3,250,,,,,1
19,6,667,2667,1,0,3,ch_martyrdom_1,CHALLENGE_MARTRYDOM_1,CHALLENGE_MARTRYDOM_DESC_1,50,,,,b,1
20,,,2667,10,1,3,ch_martyrdom_2,CHALLENGE_MARTRYDOM_2,CHALLENGE_MARTRYDOM_DESC_2,100,,,,,1
21,,,2667,25,10,3,ch_martyrdom_3,CHALLENGE_MARTRYDOM_3,CHALLENGE_MARTRYDOM_DESC_3,250,,,,,1
22,8,668,2668,1,0,1,ch_gasmask,CHALLENGE_GASMASK,CHALLENGE_GASMASK_DESC,250,,,,c,1
23,9,669,2669,1,0,1,ch_shades,CHALLENGE_SHADES,CHALLENGE_SHADES_DESC,250,,,,c,1
