a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
0,3000,weapon_pistol,WEAPON_COLT45,colt,,weapon_colt,PERKS_COLT_DESC,,,,none,,,,
1,3001,weapon_pistol,WEAPON_NAMBU,nambu,,weapon_nambu,PERKS_NAMBU_DESC,,,,none,,,,
2,3002,weapon_pistol,WEAPON_WALTHER_P38,walther,,weapon_walther,PERKS_WALTHER_DESC,,,,none,,,,
3,3003,weapon_pistol,WEAPON_TOKAREV,tokarev,,weapon_tokarev,PERKS_TOKAREV_DESC,,,PERKS_UNLOCKED_AT_LV21,none,,,,
4,3004,weapon_pistol,WEAPON_357MAGNUM,357magnum,,weapon_357magnum,PERKS_357MAGNUM_DESC,,,PERKS_UNLOCKED_AT_LV49,none,,,,
5,3005,weapon_pistol,,,,,,,,,,,,,
6,3006,weapon_pistol,,,,,,,,,,,,,
7,3007,weapon_pistol,,,,,,,,,,,,,
8,3008,weapon_pistol,,,,,,,,,,,,,
9,3009,weapon_pistol,,,,,,,,,,,,,
10,3010,weapon_smg,WEAPON_THOMPSON,thompson,,weapon_thompson,PERKS_THOMPSON_DESC,silenced aperture bigammo,,,none,silenced,aperture,bigammo,
11,3011,weapon_smg,WEAPON_MP40,mp40,,weapon_mp40,PERKS_MP40_DESC,silenced aperture bigammo,,PERKS_UNLOCKED_AT_LV10,none,silenced,aperture,bigammo,
12,3012,weapon_smg,WEAPON_TYPE100_SMG,type100smg,,weapon_type100_smg,PERKS_TYPE100_SMG_DESC,silenced aperture bigammo,,PERKS_UNLOCKED_AT_LV25,none,silenced,aperture,bigammo,
13,3013,weapon_smg,WEAPON_PPSH,ppsh,,weapon_ppsh,PERKS_PPSH_DESC,aperture bigammo,,PERKS_UNLOCKED_AT_LV53,none,aperture,bigammo,,
14,3014,weapon_smg,,,,,,,,,,,,,
15,3015,weapon_smg,,,,,,,,,,,,,
16,3016,weapon_smg,,,,,,,,,,,,,
17,3017,weapon_smg,,,,,,,,,,,,,
18,3018,weapon_smg,,,,,,,,,,,,,
19,3019,weapon_smg,,,,,,,,,,,,,
20,3020,weapon_assault,WEAPON_SVT40,svt40,,weapon_svt40,PERKS_SVT40_DESC,flash aperture telescopic,,,none,flash,aperture,telescopic,
21,3021,weapon_assault,WEAPON_GEWEHR43,gewehr43,,weapon_gewehr43,PERKS_GEWEHR43_DESC,silenced aperture telescopic gl,,PERKS_UNLOCKED_AT_LV7,none,silenced,aperture,telescopic,gl
22,3022,weapon_assault,WEAPON_M1GARAND,m1garand,,weapon_m1garand,PERKS_M1GARAND_DESC,flash bayonet gl scoped,,PERKS_UNLOCKED_AT_LV17,none,flash,bayonet,gl,scoped
23,3023,weapon_assault,WEAPON_M1A1CARBINE,m1carbine,,weapon_m1carbine,PERKS_M1CARBINE_DESC,flash aperture bayonet bigammo,,PERKS_UNLOCKED_AT_LV65,none,flash,aperture,bayonet,bigammo
24,3024,weapon_assault,WEAPON_STG-44,stg44,,weapon_stg44,PERKS_STG44_DESC,flash aperture telescopic,,PERKS_UNLOCKED_AT_LV37,none,flash,aperture,telescopic,
25,3025,weapon_assault,,,,,,,,,,,,,
26,3026,weapon_assault,,,,,,,,,,,,,
27,3027,weapon_assault,,,,,,,,,,,,,
28,3028,weapon_assault,,,,,,,,,,,,,
29,3029,weapon_assault,,,,,,,,,,,,,
30,3030,weapon_assault,,,,,,,,,,,,,
31,3031,weapon_assault,,,,,,,,,,,,,
32,3032,weapon_assault,,,,,,,,,,,,,
33,3033,weapon_assault,,,,,,,,,,,,,
34,3034,weapon_assault,,,,,,,,,,,,,
35,3035,weapon_assault,,,,,,,,,,,,,
36,3036,weapon_assault,,,,,,,,,,,,,
37,3037,weapon_assault,,,,,,,,,,,,,
38,3038,weapon_assault,,,,,,,,,,,,,
39,3039,weapon_assault,,,,,,,,,,,,,
40,3040,weapon_hmg,WEAPON_30CAL,30cal,,weapon_30cal,PERKS_30CAL_DESC,bipod,,PERKS_UNLOCKED_AT_LV61,none,bipod,,,
41,3041,weapon_hmg,WEAPON_MG42,mg42,,weapon_mg42,PERKS_MG42_DESC,bipod,,PERKS_UNLOCKED_AT_LV33,none,bipod,,,
42,3042,weapon_hmg,WEAPON_DP28,dp28,,weapon_dp28,PERKS_DP28_DESC,bipod,,PERKS_UNLOCKED_AT_LV13,none,bipod,,,
43,3043,weapon_hmg,,,,,,,,,,,,,
44,3044,weapon_hmg,,,,,,,,,,,,,
45,3045,weapon_hmg,,,,,,,,,,,,,
46,3046,weapon_hmg,,,,,,,,,,,,,
47,3047,weapon_hmg,,,,,,,,,,,,,
48,3048,weapon_hmg,,,,,,,,,,,,,
49,3049,weapon_hmg,,,,,,,,,,,,,
50,3050,weapon_projectile,WEAPON_M2_FLAMETHROWER,m2_flamethrower,,weapon_m2_flamethrower,PERKS_GRENADE_LAUNCHER_ATTACHMENT,,,PERKS_UNLOCKED_AT_LV65,none,,,,
51,3051,weapon_projectile,,,,,,,,,,,,,
52,3052,weapon_projectile,,,,,,,,,,,,,
53,3053,weapon_projectile,,,,,,,,,,,,,
54,3054,weapon_projectile,,,,,,,,,,,,,
55,3055,weapon_projectile,WEAPON_BAZOOKA,bazooka,2,weapon_bazooka,PERKS_PORTABLE_SHOULDERLAUNCHED,,,,,,,,
56,3056,weapon_projectile,,,,,,,,,,,,,
57,3057,weapon_projectile,,,,,,,,,,,,,
58,3058,weapon_projectile,,,,,,,,,,,,,
59,3059,weapon_projectile,,,,,,,,,,,,,
60,3060,weapon_sniper,WEAPON_SPRINGFIELD,springfield,,weapon_springfield_scoped,PERKS_SPRINGFIELD_DESC,scoped bayonet gl,,,none,scoped,bayonet,gl,
61,3061,weapon_sniper,WEAPON_MOSIN_RIFLE,mosinrifle,,weapon_mosin_rifle,PERKS_MOSIN_RIFLE_DESC,scoped bayonet gl,,PERKS_UNLOCKED_AT_LV21,none,scoped,bayonet,gl,
62,3062,weapon_sniper,WEAPON_TYPE99_RIFLE,type99rifle,,weapon_type99_rifle,PERKS_TYPE99_RIFLE_DESC,scoped bayonet gl,,PERKS_UNLOCKED_AT_LV4,none,scoped,bayonet,gl,
63,3063,weapon_sniper,WEAPON_KAR98K,kar98k,,weapon_kar98k,PERKS_KAR98K_DESC,scoped bayonet gl,,PERKS_UNLOCKED_AT_LV41,none,scoped,bayonet,gl,
64,3064,weapon_sniper,WEAPON_PTRS41,ptrs41,,weapon_ptrs41,PERKS_PTRS41_DESC,,,PERKS_UNLOCKED_AT_LV57,none,,,,
65,3065,weapon_sniper,,,,,,,,,,,,,
66,3066,weapon_sniper,,,,,,,,,,,,,
67,3067,weapon_sniper,,,,,,,,,,,,,
68,3068,weapon_sniper,,,,,,,,,,,,,
69,3069,weapon_sniper,,,,,,,,,,,,,
70,3070,weapon_shotgun,WEAPON_SHOTGUN,shotgun,,weapon_shotgun4,PERKS_SHOTGUN_DESC,grip bayonet,,,none,grip,bayonet,,
