a1,b2,c1
1,30cal_mp,30cal_mp
1,30cal_bipod_mp,30cal_mp
1,30cal_bipod_crouch_mp,30cal_mp
1,30cal_bipod_prone_mp,30cal_mp
1,30cal_bipod_stand_mp,30cal_mp
2,357magnum_mp,357magnum_mp
3,bar_mp,bar_mp
3,bar_bipod_mp,bar_mp
4,bar_bipod_crouch_mp,bar_mp
5,bar_bipod_prone_mp,bar_mp
6,bar_bipod_stand_mp,bar_mp
4,colt_mp,colt_mp
5,doublebarreledshotgun_mp,doublebarreledshotgun_mp
5,doublebarreledshotgun_grip_mp,doublebarreledshotgun_mp
5,doublebarreledshotgun_sawoff_mp,doublebarreledshotgun_mp
8,dp28_mp,dp28_mp
8,dp28_bipod_mp,dp28_mp
8,dp28_bipod_crouch_mp,dp28_mp
8,dp28_bipod_prone_mp,dp28_mp
8,dp28_bipod_stand_mp,dp28_mp
9,fg42_mp,fg42_mp
9,fg42_bipod_mp,fg42_mp
9,fg42_bipod_crouch_mp,fg42_mp
9,fg42_bipod_prone_mp,fg42_mp
9,fg42_bipod_stand_mp,fg42_mp
9,fg42_telescopic_mp,fg42_mp
10,gewehr43_mp,gewehr43_mp
10,gewehr43_aperture_mp,gewehr43_mp
10,gewehr43_gl_mp,gewehr43_mp
10,gewehr43_silenced_mp,gewehr43_mp
10,gewehr43_telescopic_mp,gewehr43_mp
11,kar98k_mp,kar98k_mp
11,kar98k_bayonet_mp,kar98k_mp
11,kar98k_gl_mp,kar98k_mp
11,kar98k_scoped_mp,kar98k_mp
12,m1carbine_mp,m1carbine_mp
12,m1carbine_aperture_mp,m1carbine_mp
12,m1carbine_bayonet_mp,m1carbine_mp
12,m1carbine_bigammo_mp,m1carbine_mp
12,m1carbine_flash_mp,m1carbine_mp
13,m1garand_mp,m1garand_mp
13,m1garand_bayonet_mp,m1garand_mp
13,m1garand_flash_mp,m1garand_mp
13,m1garand_gl_mp,m1garand_mp
13,m1garand_scoped_mp,m1garand_mp
14,mg42_mp,mg42_mp
14,mg42_bipod_mp,mg42_mp
14,mg42_bipod_crouch_mp,mg42_mp
14,mg42_bipod_prone_mp,mg42_mp
14,mg42_bipod_stand_mp,mg42_mp
15,mosinrifle_mp,mosinrifle_mp
15,mosinrifle_bayonet_mp,mosinrifle_mp
15,mosinrifle_gl_mp,mosinrifle_mp
15,mosinrifle_scoped_mp,mosinrifle_mp
16,mp40_mp,mp40_mp
16,mp40_aperture_mp,mp40_mp
16,mp40_bigammo_mp,mp40_mp
16,mp40_silenced_mp,mp40_mp
17,nambu_mp,nambu_mp
18,ppsh_mp,ppsh_mp
18,ppsh_aperture_mp,ppsh_mp
18,ppsh_bigammo_mp,ppsh_mp
19,ptrs41_mp,ptrs41_mp
20,shotgun_mp,shotgun_mp
21,springfield_mp,springfield_mp
21,springfield_bayonet_mp,springfield_mp
21,springfield_gl_mp,springfield_mp
21,springfield_scoped_mp,springfield_mp
22,stg44_mp,stg44_mp
22,stg44_aperture_mp,stg44_mp
22,stg44_flash_mp,stg44_mp
22,stg44_telescopic_mp,stg44_mp
23,svt40_mp,svt40_mp
23,svt40_aperture_mp,svt40_mp
23,svt40_flash_mp,svt40_mp
23,svt40_telescopic_mp,svt40_mp
24,thompson_mp,thompson_mp
24,thompson_aperture_mp,thompson_mp
24,thompson_bigammo_mp,thompson_mp
24,thompson_silenced_mp,thompson_mp
25,tokarev_mp,tokarev_mp
26,type100smg_mp,type100smg_mp
26,type100smg_aperture_mp,type100smg_mp
26,type100smg_bigammo_mp,type100smg_mp
26,type100smg_silenced_mp,type100smg_mp
27,type99lmg_mp,type99lmg_mp
27,type99lmg_bayonet_mp,type99lmg_mp
27,type99lmg_bipod_mp,type99lmg_mp
27,type99lmg_bipod_crouch_mp,type99lmg_mp
27,type99lmg_bipod_prone_mp,type99lmg_mp
27,type99lmg_bipod_stand_mp,type99lmg_mp
28,type99rifle_mp,type99rifle_mp
28,type99rifle_bayonet_mp,type99rifle_mp
28,type99rifle_gl_mp,type99rifle_mp
28,type99rifle_scoped_mp,type99rifle_mp
29,walther_mp,walther_mp
30,frag_grenade_mp,frag_grenade_mp
31,m8_white_smoke_mp,m8_white_smoke_mp
32,mine_bouncing_betty_mp,mine_bouncing_betty_mp
33,molotov_mp,molotov_mp
34,satchel_charge_mp,satchel_charge_mp
35,signal_flare_mp,signal_flare_mp
36,sticky_grenade_mp,sticky_grenade_mp
37,tabun_gas_mp,tabun_gas_mp
38,artillery_mp,artillery_mp
39,bazooka_mp,bazooka_mp
40,gl_gewehr_43_mp,rifle_grenade_mp
40,gl_kar98k_mp,rifle_grenade_mp
40,gl_m1garand_mp,rifle_grenade_mp
40,gl_mosinrifle_mp,rifle_grenade_mp
40,gl_springfield_mp,rifle_grenade_mp
40,gl_type99rifle_mp,rifle_grenade_mp
41,panzerschrek_mp,panzerschrek_mp
42,dog_bite_mp,dog_bite_mp
43,m2_flamethrower_mp,m2_flamethrower_mp
44,panzer4_gunner_front_mp,panzer4_gunner_mp
44,panzer4_gunner_mp,panzer4_gunner_mp
45,panzer4_turret_mp,panzer4_turret_mp
46,t34_gunner_front_mp,t34_gunner_mp
46,t34_gunner_mp,t34_gunner_mp
47,t34_turret_mp,t34_turret_mp
